Accommodation and food service activities,Large,47
Accommodation and food service activities,Medium,90
Accommodation and food service activities,Small,67
Administrative and support service activities,Large,137
Administrative and support service activities,Medium,247
Administrative and support service activities,Small,302
Agriculture; forestry and fishing,Large,66
Agriculture; forestry and fishing,Medium,206
Agriculture; forestry and fishing,Small,59
Construction,Large,986
Construction,Medium,505
Construction,Small,180
Education,Large,8
Education,Medium,33
Education,Small,12
Electricity; gas; steam and air conditioning supply,Large,510
Electricity; gas; steam and air conditioning supply,Medium,378
Electricity; gas; steam and air conditioning supply,Small,376
Financial and insurance activities,Large,824
Financial and insurance activities,Medium,110
Financial and insurance activities,Small,157
Human health and social work activities,Large,3
Human health and social work activities,Medium,38
Human health and social work activities,Small,12
Information and communication,Large,254
Information and communication,Medium,573
Information and communication,Small,249
Manufacturing,Large,3850
Manufacturing,Medium,5221
Manufacturing,Small,5898
Mining and quarrying,Large,487
Mining and quarrying,Medium,260
Mining and quarrying,Small,266
Other service activities,Large,2
Other service activities,Medium,10
Other service activities,Small,23
Professional; scientific and technical activities,Large,69
Professional; scientific and technical activities,Medium,88
Professional; scientific and technical activities,Small,60
Public administration and defence; compulsory social security,Large,2
Public administration and defence; compulsory social security,Medium,7
Public administration and defence; compulsory social security,Small,6
Real estate activities,Large,76
Real estate activities,Medium,48
Real estate activities,Small,115
Transportation and storage,Large,414
Transportation and storage,Medium,264
Transportation and storage,Small,100
Water supply; sewerage; waste management and remediation activities,Large,41
Water supply; sewerage; waste management and remediation activities,Medium,126
Water supply; sewerage; waste management and remediation activities,Small,153
Wholesale and retail trade; repair of motor vehicles and motorcycles,Large,1254
Wholesale and retail trade; repair of motor vehicles and motorcycles,Medium,830
Wholesale and retail trade; repair of motor vehicles and motorcycles,Small,997
