FullName,ExecutiveTitle,Company,City,State,PostalCode,ISICDivision,IndustryDescription,Sales,Assets,Employees
Abulaban Majdi Bader,Chairman,"Delphi Packard Electric Systems Co., Ltd.",Yantai,Shandong,201805,26,"Manufacture of computer, electronic and optical products",138024.9,78076.3,3115
Agarwal Pawan,Director,"Zhuzhou Metalforming Machine Tool Co., Ltd.",Zhuzhou,Hunan,412007,41,Construction of buildings,1430.8,14864.2,150
Agee C. Martha,Independent Director,China BAK Battery Inc.,Dalian,Liaoning,116422,27,Manufacture of electrical equipment,123014.1,43968.2,58
Aggarwal Vikrant Null,Chairman,"Cummins Generator Technologies Co., Ltd.",Wuxi,Jiangsu,214028,27,Manufacture of electrical equipment,193900.6,99759.7,900
Aguignier Philippe,Non-Executive Director,"Bank Of Nanjing Co.,Ltd.",Nanjing,Jiangsu,210008,64,"Financial service activities, except insurance and pension funding",2673411,92434344,6736
Ai Ji,Independent Non-Executive Director,Jiahua Stores Holdings Limited,Shenzhen,Guangdong,518101,47,"Retail trade, except of motor vehicles and motorcycles",133300.7,150081.1,1626
Ai Jianhua,Chairman,"Jinan Pepsi-Cola Beverage Co., Ltd.",Jinan,Shandong,250100,11,Manufacture of beverages,148740.4,2445.6,616
Ai Jiao,Director,Zhongbai Holdings Group Co Ltd,Wuhan,Hubei,430035,47,"Retail trade, except of motor vehicles and motorcycles",2744580,1428138,37727
Ai Lande,Chairman,SKF (Dalian) Bearings and Precision Technologies Co. Ltd.,Dalian,Liaoning,116600,46,"Wholesale trade, except of motor vehicles and motorcycles",100992.5,264356.2,300
Ai Lu Ming,Director,Humanwell Healthcare Group Co Ltd,Wuhan,Hubei,430075,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1144582,1962245,8934
Ai Min,Director,Shenzhen Clou Electronics Co Ltd,Shenzhen,Guangdong,518057,26,"Manufacture of computer, electronic and optical products",317261.6,753930.6,3031
Ai Qiuhong,Independent Director,"Hubei Sanonda Co., Ltd.",Jingzhou,Hubei,434001,20,Manufacture of chemicals and chemical products,508237.3,473226.9,2056
Ai Qiyou,Director,"Wuhan Jiangxia District Jigang Cement Co., Ltd.",Wuhan,Hubei,430213,23,Manufacture of other non-metallic mineral products,26216,628.3,25
Ai Tingchun,Director,"Jilin Pharmaceutical Co., Ltd.",Changchun,Jilin,132115,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,18821.3,44771.6,349
Ai Wei,Director,"Chongqing Tong Jun Ge Co.,Ltd",Chongqing,Chongqing,400012,47,"Retail trade, except of motor vehicles and motorcycles",770796.1,536133.5,4576
Ai Wei Er,Director,"Chongqing Taiji Industry(Group)Co., Ltd.",Chongqing,Chongqing,408000,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1129394,1669557,11052
Ai Xinping,Director,EVE Energy Co Ltd,Huizhou,Guangdong,516006,27,Manufacture of electrical equipment,196226,271020.2,4080
Ai Yan,Independent Director,Ginwa Enterprise (Group) Inc.,Xi'an,Shaanxi,710065,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,115696.3,204296.1,767
Ai Youguan,Director,Infotmic Co Ltd,Shanghai,Shanghai,200050,41,Construction of buildings,28391.4,122747.6,240
Ai Yu,Non-Executive Non-Independent Director,Ying Li International Real Estate Ltd.,Chongqing,Chongqing,400010,68,Real estate activities,167263.7,1538805,48
AKIYMA Tsuyoshi,Vice Chairman of the Board,Shandong Longda Meat Foodstuff Co Ltd,Yantai,Shandong,265200,1,"Crop and animal production, hunting and related service activities",575651,280630.5,2066
A'la Fate,Chairman,"Sanmen Shuntong Automobile Fittings Co., Ltd.",Taizhou,Zhejiang,317101,29,"Manufacture of motor vehicles, trailers and semi-trailers",1240.8,2094.7,40
Alan Chalmers Jope,Chairman,Bestfoods Guangzhou Ltd.,Guangzhou,Guangdong,510990,10,Manufacture of food products,28563.4,66950.3,176
Alan Storey,Chairman of the Board,"Adam Equipment (Wuhan) Co., Ltd.",Wuhan,Hubei,430056,26,"Manufacture of computer, electronic and optical products",3921,3296.1,300
Alesbrook Scott,Chairman of the Board,Stretchline (Zhongshan) Limited,Zhongshan,Guangdong,528459,20,Manufacture of chemicals and chemical products,20537.8,20680.1,600
